CID,Date of Last Certification,Brand,Product,Model Number,Category,Hardware Version,Firmware Version,Operating System,Frequency Band(s),2.4 GHz Spectrum Capabilities,5 GHz Spectrum Capabilities,6 GHz Spectrum Capabilities,Additional Features,CWG-RF,Miracast®,Passpoint®,Protected Management Frames,Spectrum & Regulatory,Sub-1 GHz Spectrum Capabilities,TDLS,Voice-Enterprise,Wi-Fi Aware™,Wi-Fi Agile Multiband™,Wi-Fi CERTIFIED 7™,Wi-Fi CERTIFIED HaLow™,Wi-Fi CERTIFIED WiGig™,Wi-Fi CERTIFIED 6®,Wi-Fi CERTIFIED™ a,Wi-Fi CERTIFIED™ ac,Wi-Fi CERTIFIED™ b,Wi-Fi CERTIFIED™ g,Wi-Fi CERTIFIED™ n,Wi-Fi Data Elements™,Wi-Fi Easy Connect™,Wi-Fi EasyMesh™,Wi-Fi Home Design™,Wi-Fi Location™,Wi-Fi Optimized Connectivity™,Wi-Fi Protected Setup™,Wi-Fi Enhanced Open™,Wi-Fi QoS Management™,Wi-Fi Vantage™,WMM®,WMM®-Admission Control,WMM®-Power Save,WPA2™-Enterprise,WPA2™-Personal,Wi-Fi Direct®,WPA3™-Enterprise,WPA3™-Personal
WFA132004,2024-07-22,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5573-23HW,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132003,2024-07-18,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5573-23H,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132002,2024-07-18,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,eKitEngine AP371,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131991,2024-10-28,ASUSTeK Computer Inc.,ASUS_AI2501,ASUS_AI2501,Phones,PCIE; PCIE; PCIE,,Android 15; Android 15; Android 15,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
WFA131967,2024-07-16,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine6776I-X7TH,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131966,2024-07-16,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5773-25HW,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131965,2024-07-16,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5773-23WP,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131964,2024-07-16,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5573-21,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131963,2024-07-16,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine3573-21,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131946,2024-07-16,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5773-21,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131944,2024-07-15,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5773-23H,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131942,2024-07-15,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5773-23HW,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA130391,2024-07-18,Zyxel Communications Corporation,5G NR Indoor Router,NR5307,Routers,PCIe,,Linux 5.4.238; Linux 5.4.238,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131916,2024-08-20,Extreme Networks,AP5020 Universal Wireless Wi-Fi 7,AP5020-WW,Routers,Onboard,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA129740,2024-07-11,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5773-22P,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131797,2024-09-03,Actiontec Electronics,Tri-band Wi-Fi7 Router,WF-825,Routers,PCIe,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131736,2024-10-17,Arcadyan Technology Corporation,Swisscom Internet-Box 5 Pro,PRV65BE3448B-B-H1-LSW,Routers,PCIe,,Linux 4.19.294,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA128809,2024-06-28,H3C,H3C WA7638 WLAN AP with H3C WX Series WLAN Controller,H3C WA7638 WLAN AP with H3C WX Series WLAN Controller,Routers,PCIE,,Comware,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131735,2024-06-25,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,eKitEngine AP673,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131661,2024-06-28,H3C,H3C WA7636 WLAN AP with H3C WX Series WLAN Controller,H3C WA7636 WLAN AP with H3C WX Series WLAN Controller,Routers,PCIE,,Comware,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131716,2024-06-24,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine6776I-X6TH,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131715,2024-06-24,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine6576-57T,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131714,2024-06-24,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine6576-56TP,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131713,2024-06-24,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5576-26,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131661,2024-06-19,H3C,H3C WA7636 WLAN AP with H3C WX Series WLAN Controller,H3C WA7636 WLAN AP with H3C WX Series WLAN Controller,Routers,PCIE,,Comware,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131648,2024-09-16,Cisco Systems,Cisco Catalyst 9800-L Wireless Controller and Cisco CW9176 AP,C9800-L and CW9176,Routers,PCIe3.0,,"Linux, Version: 17.15",2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA131647,2024-09-13,Cisco Systems,Cisco Wireless CW9176 with Meraki,Cisco Wireless CW9176,Routers,PCIe3.0,,R31,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA131646,2024-09-16,Cisco Systems,Cisco Wireless CW9178I with Meraki,Cisco Wireless CW9178I,Routers,PCIe3.0,,R31,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA131645,2024-09-16,Cisco Systems,Cisco Catalyst 9800-L Wireless Controller and Cisco CW9178I AP,C9800-L and CW9178I,Routers,PCIe3.0,,"Linux, Version: 17.15",2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA131582,2024-06-12,TP-Link Systems Inc.,BE11000 Whole Home Mesh Wi-Fi 7 System,Deco BE65 Pro,Routers,PCIE,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131581,2024-06-12,TP-Link Systems Inc.,BE11000 Whole Home Mesh Wi-Fi 7 System,Deco BE11000,Routers,PCIE,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131580,2024-06-12,TP-Link Systems Inc.,BE11000 Whole Home Mesh Wi-Fi 7 System,Deco BE63,Routers,PCIE,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131572,2024-06-24,Intel,Intel® Wi-Fi 7 BE201,BE201,Computers & Accessories,PCIe,,Windows 11,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA129344,2024-06-18,"Nokia Shanghai Bell Co., Ltd.",Nokia WiFi Beacon 24,Beacon 24,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131515,2024-06-13,"Google, Inc.","GGH2X, GC15S","GGH2X, GC15S",Phones,PCIe; PCIe,,Android; Android,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WFA131514,2024-06-12,"Google, Inc.","GR83Y, GWVK6, GEC77","GR83Y, GWVK6, GEC77",Phones,PCIe; PCIe,,Android; Android,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WFA131513,2024-06-13,"Google, Inc.","GGX8B, GZC4K, GQ57S","GGX8B, GZC4K, GQ57S",Phones,PCIe; PCIe,,Android; Android,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WFA131459,2024-06-04,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine5776-26,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131385,2024-09-26,Zyxel Networks Corporation,802.11be (WiFi 7) Triple-Radio Unified Pro Access Point,WBE660S,Routers,PCIe,,Linux Kernel 5.4,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA128597,2024-07-08,Zyxel Communications Corporation,5G NR Indoor Router,BP5691,Routers,PCIe,,Linux 5.4.238; Linux 5.4.238,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131329,2024-09-04,Vodafone Group PLC,Super Wi-Fi 7,RP761BVDF,Routers,PCIe,,Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA126059,2024-07-22,MediaTek Inc.,MediaTek Filogic 380 - MT7927,MediaTek Filogic 380 - MT7927,Other,NGFF,,Windows,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
WFA131231,2024-07-31,Nokia Corporation,Fastmile 5G Gateway 12,5G31-03W-B,Routers,PCIe,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131171,2024-09-16,"HAN Networks Co., Ltd.",HAN Access Point,AP511,Routers,1*5GE，1*USB2.0，1*Console，1*Factory default reset ， 1* Power Jack,,linux 5.4,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA131092,2024-06-26,ZTE Corporation,Router,G5 Ultra,Routers,PCIe,,Linux 5.4.238; Linux 5.4.238,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA131075,2024-09-30,Askey Computer Corporation,Askey-APM7200T,Askey-APM7200T,Routers,PCIe 3.0,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131069,2024-11-18,Vantiva,OWA813V,OWA813V,Routers,PCIe,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131058,2024-10-01,SoftBank Corporation,10G E-WMTA1.0,EVO310G,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA131034,2024-09-12,Sagemcom Broadband SAS,F380b PLATFORM,F380b,Routers,Internal + PCIe,,24.1,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA130941,2024-07-19,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8247B7-8N,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA130860,2024-07-12,TP-Link Systems Inc.,BE9300 Tri-Band Wi-Fi 7 Router,Archer BE550,Routers,PCIE,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA130852,2024-04-23,ZTE Corporation,Wireless Router,ZXHN H5745,Routers,IPQ9570 SOC; QCN6224/QCN6224:PCI-e,,Linux5.4; Linux5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA130851,2024-04-22,ZTE Corporation,Optical Network Terminal,ZXHN F6745,Routers,IPQ9570 SOC; QCN6224/QCN6224:PCI-e,,Linux5.4; Linux5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA130850,2024-04-22,ZTE Corporation,Optical Network Terminal,ZXHN F8748,Routers,IPQ9570 SOC; QCN6224/QCN6224:PCI-e,,Linux5.4; Linux5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA130835,2024-09-24,TP-Link Systems Inc.,Ceiling Mount Wi-Fi 7 Access Point,EAP773,Routers,10G ETH Port*1,,Linux 5.4,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA130812,2024-04-24,TP-Link Systems Inc.,BE22000 Tri-Band Wi-Fi 7 Router,EB810v,Routers,PCIE,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA127880,2024-08-05,Intel,Intel® Wi-Fi 7 BE202 (Gig+),BE202,Other,PCIe,,Windows 11,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA130751,2024-04-10,Askey Computer Corporation,5G Wi-Fi Router,ASK-NCM1100,Routers,PCIe,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA130519,2024-07-23,Askey Computer Corporation,Askey RTM-7000T,RTM-7000T,Routers,PCIe 3.0,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA129613,2024-03-26,Askey Computer Corporation,Business Wi-Fi Extender,APM7210D-D323,Routers,"RJ45, 2.5GbE x1, 1GbE x1",,Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA130475,2024-03-21,TP-Link Systems Inc.,BE22000 Whole Home Mesh Wi-Fi 7 AP,HB810,Routers,PCIE,,Linux 5.4,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA130473,2024-10-02,Hewlett Packard Enterprise,AP-755,755,Routers,Onboard,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA130454,2024-07-10,Askey Computer Corporation,Smart 5G Hub,HH70C,Routers,PCIe Gen 3,,Linux; Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
