CID,Date of Last Certification,Brand,Product,Model Number,Category,Hardware Version,Firmware Version,Operating System,Frequency Band(s),2.4 GHz Spectrum Capabilities,5 GHz Spectrum Capabilities,6 GHz Spectrum Capabilities,Additional Features,CWG-RF,Miracast®,Passpoint®,Protected Management Frames,Spectrum & Regulatory,Sub-1 GHz Spectrum Capabilities,TDLS,Voice-Enterprise,Wi-Fi Aware™,Wi-Fi Agile Multiband™,Wi-Fi CERTIFIED 7™,Wi-Fi CERTIFIED HaLow™,Wi-Fi CERTIFIED WiGig™,Wi-Fi CERTIFIED 6®,Wi-Fi CERTIFIED™ a,Wi-Fi CERTIFIED™ ac,Wi-Fi CERTIFIED™ b,Wi-Fi CERTIFIED™ g,Wi-Fi CERTIFIED™ n,Wi-Fi Data Elements™,Wi-Fi Easy Connect™,Wi-Fi EasyMesh™,Wi-Fi Home Design™,Wi-Fi Location™,Wi-Fi Optimized Connectivity™,Wi-Fi Protected Setup™,Wi-Fi Enhanced Open™,Wi-Fi QoS Management™,Wi-Fi Vantage™,WMM®,WMM®-Admission Control,WMM®-Power Save,WPA2™-Enterprise,WPA2™-Personal,Wi-Fi Direct®,WPA3™-Enterprise,WPA3™-Personal
WFA131647,2024-09-26,Cisco Systems,Cisco Wireless CW9176 with Meraki,Cisco Wireless CW9176,Routers,PCIe3.0,,R31,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA132601,2024-09-13,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar V261a-20,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132600,2024-09-13,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar V281s,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA131717,2024-09-13,Samsung Electronics,SM-F958N,SM-F958N,Phones,PCIe; PCIe,,Android 14.0; Android 14.0,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WFA132570,2024-11-07,Fiberhome Technologies Group Corporation,GPON ONU,HG6142HT,Routers,PCIe,,5.10.0,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA132540,2024-09-10,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar EN8145B7Ns,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132539,2024-09-10,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar W827E-2,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132538,2024-09-10,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar W827E,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA127411,2024-09-18,Intel,Intel® Wi-Fi 7 BE200,BE200,Computers & Accessories,PCIe,,Windows 11,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA132451,2024-09-04,Fujitsu Client Computing Limited,M.2 Module /FCZSW11H85139-11be,FCZSW11H85139-11be,Computers & Accessories,PCIe,,Windows 11,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
WFA132423,2024-11-11,Vantiva,OWA812D,OWA812D,Routers,PCIe,,Linux 4.19,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
